tool,map_name,generation_id,scenario_id,start_time,file_path,crit_MDBV,crit_min_TTC,crit_TET_total,crit_TET_max,func_completion_rate,func_route_stability,func_time_to_completion,func_total_planned_distance,func_actual_distance_traveled,func_max_progress_reached,func_dev_mean,func_dev_rmse,func_dev_mae,func_dev_max,func_dev_std,dyn_mean_speed,dyn_max_speed,dyn_mean_long_acc,dyn_p95_long_acc,dyn_max_long_acc,ev_collision,ev_red_light,ev_speeding,ev_stop_sign,total_failures,is_critical
ScenarioFuzzLLM,Town03,2,0,2025-09-23_11-20-49,logs/enriched/tool1/log/2_0_log_basic.json,0.13563961090367613,0.02388470636947774,7.84,2.96,21.35151969397868,95.3123389203733,,527.5006982020582,110.58659659219882,112.6294154624875,0.240054546017721,0.33379130551656316,0.240054546017721,0.6339738673854822,0.23192768393332755,5.070203623946028,7.518619337351772,1.1798978475959132,5.0179294739998195,120.3841987464925,1,0,0,1,2,True
ScenarioFuzzLLM,Town03,3,0,2025-09-23_11-32-50,logs/enriched/tool1/log/3_0_log_basic.json,0.0,0.0,3.56,2.76,20.03377211291269,96.6250263525094,,309.60620669185613,60.44066891397429,62.0258018960799,0.17166203175410258,0.40200683902537865,0.17166203175410258,1.318452881493323,0.36351292339782104,2.657523364906908,7.444280519298021,1.0699350667349616,4.292306774311153,9.934317016035294,1,0,0,0,1,True
ScenarioFuzzLLM,Town03,2,1,2025-09-23_11-21-59,logs/enriched/tool1/log/2_1_log_basic.json,1.691505734233888,0.28004739557613967,31.56,4.76,100.0,96.761171487681,155.68,527.5006982020582,522.8084529507872,527.5006982020582,0.16462196585568514,0.42439546607121603,0.16462196585568514,3.6515167054253137,0.391166358445629,3.293658997960651,7.523702554593716,0.927277400532166,4.245045639393459,13.559263274057187,0,0,0,1,1,True
ScenarioFuzzLLM,Town03,1,1,2025-09-23_11-12-03,logs/enriched/tool1/log/1_1_log_basic.json,0.0,0.0,9.88,3.16,21.256739633642926,95.34949273873444,,527.5006982020582,110.08681653352926,112.12944998246006,0.23810586974055956,0.3322627831928385,0.23810586974055956,0.6339738673854822,0.2317415627161922,5.001153934523485,7.518619337351772,1.1900061446239725,4.91588852863587,145.75018809369996,1,0,0,1,2,True
ScenarioFuzzLLM,Town03,1,2,2025-09-23_11-13-28,logs/enriched/tool1/log/1_2_log_basic.json,0.0,0.0,6.4,1.92,45.6456860177722,93.75351619923423,,210.833195999112,89.30748074911855,96.23625866698892,0.32250507857871596,0.6834308900290156,0.32250507857871596,2.9883007230107377,0.6025514548457986,3.439611043372317,7.4695920705216565,1.3263456828734235,4.88365762046576,9.483053970345791,1,0,0,0,1,True
ScenarioFuzzLLM,Town03,1,3,2025-09-23_11-14-43,logs/enriched/tool1/log/1_3_log_basic.json,1.0865392307448745,0.21414091105549368,19.04,3.04,100.0,96.84970443967079,155.8,527.5006982020582,522.4053114957981,527.5006982020582,0.16004923936310378,0.4088194618095558,0.16004923936310378,3.266599455090881,0.376188241886355,3.285869004459588,7.532227896844332,0.6650863559770841,3.2926931534195387,15.432365613831797,0,0,0,1,1,True
ScenarioFuzzLLM,Town03,3,4,2025-09-23_10-40-34,logs/enriched/tool1/2025-09-23_11-09-43/log/3_4_log_basic.json,1.4429422347580487,0.3572064549736625,2.28,1.52,100.0,97.11358377697378,95.72,170.3390754829899,167.30707347434355,170.3390754829899,0.1464446287932429,0.3591098960805305,0.1464446287932429,2.734061946993898,0.32789310477742395,1.6919391712679013,7.517350443474084,0.6029795971619457,3.4150070859473303,13.217409043456831,0,0,0,1,1,True
ScenarioFuzzLLM,Town03,3,0,2025-09-23_10-30-18,logs/enriched/tool1/2025-09-23_11-09-43/log/3_0_log_basic.json,1.864095083853898,0.25384554159080197,5.48,3.6,100.0,95.57872375884595,97.04,212.63975890868298,207.96277201290113,212.63975890868298,0.22609972761761366,0.476332784555088,0.22609972761761366,3.4429387984685396,0.419251517365465,2.0817485013711665,7.508732932392789,0.7857950698603767,3.848197179152422,15.586130989426739,0,0,0,1,1,True
ScenarioFuzzLLM,Town03,4,1,2025-09-23_10-46-14,logs/enriched/tool1/2025-09-23_11-09-43/log/4_1_log_basic.json,1.4693915685510706,0.2612397452004733,5.16,2.36,100.0,95.58236390162028,97.32,212.63975890868298,207.93503559537044,212.63975890868298,0.22590930482711172,0.4735610683896028,0.22590930482711172,3.4250697233779075,0.4162031613128776,2.0734339809194124,7.530028679892262,0.6520665646369592,3.4019056240777568,16.6902752259526,0,0,0,1,1,True
ScenarioFuzzLLM,Town03,1,4,2025-09-23_10-15-47,logs/enriched/tool1/2025-09-23_11-09-43/log/1_4_log_basic.json,1.4321670695875406,0.717626172050106,3.96,1.84,100.0,97.22355921810714,95.16,170.3390754829899,167.47561431931277,170.3390754829899,0.14078562551790105,0.361928940529773,0.14078562551790105,2.7345005119765626,0.33342460263234525,1.7031274836822705,7.50715990105446,0.562227581749978,3.235108764612202,14.421257183600611,0,0,0,1,1,True
