tool,map_name,generation_id,scenario_id,start_time,file_path,crit_MDBV,crit_min_TTC,crit_TET_total,crit_TET_max,func_completion_rate,func_route_stability,func_time_to_completion,func_total_planned_distance,func_actual_distance_traveled,func_max_progress_reached,func_dev_mean,func_dev_rmse,func_dev_mae,func_dev_max,func_dev_std,dyn_mean_speed,dyn_max_speed,dyn_mean_long_acc,dyn_p95_long_acc,dyn_max_long_acc,ev_collision,ev_red_light,ev_speeding,ev_stop_sign,total_failures,is_critical,cluster
ScenarioFuzzLLM,Town03,2,0,2025-09-23_11-20-49,logs/enriched/tool1/log/2_0_log_basic.json,0.1356396109036761,0.0238847063694777,7.84,2.96,21.35151969397868,95.3123389203733,,527.5006982020582,110.58659659219882,112.6294154624875,0.240054546017721,0.3337913055165631,0.240054546017721,0.6339738673854822,0.2319276839333275,5.070203623946028,7.518619337351772,1.1798978475959132,5.01792947399982,120.3841987464925,1,0,0,1,2,True,1.0
ScenarioFuzzLLM,Town03,3,4,2025-09-23_11-42-34,logs/enriched/tool1/log/3_4_log_basic.json,4.195366910947912,0.8415132816870602,10.96,2.08,100.0,95.96970501779116,163.4,492.3113489325609,475.53991853898174,492.3113489325609,0.2056880852757487,0.4271695923866111,0.2056880852757487,2.336625755391995,0.3743878633654406,2.8024659354300114,7.520450641417707,0.7786942382518972,3.697965316280066,14.34757726675966,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,3,0,2025-09-23_11-32-50,logs/enriched/tool1/log/3_0_log_basic.json,0.0,0.0,3.56,2.76,20.03377211291269,96.6250263525094,,309.60620669185613,60.44066891397429,62.0258018960799,0.1716620317541025,0.4020068390253786,0.1716620317541025,1.318452881493323,0.363512923397821,2.657523364906908,7.444280519298021,1.0699350667349616,4.292306774311153,9.934317016035294,1,0,0,0,1,True,2.0
ScenarioFuzzLLM,Town03,2,1,2025-09-23_11-21-59,logs/enriched/tool1/log/2_1_log_basic.json,1.691505734233888,0.2800473955761396,31.56,4.76,100.0,96.761171487681,155.68,527.5006982020582,522.8084529507872,527.5006982020582,0.1646219658556851,0.424395466071216,0.1646219658556851,3.6515167054253137,0.391166358445629,3.293658997960651,7.523702554593716,0.927277400532166,4.245045639393459,13.559263274057187,0,0,0,1,1,True,0.0
ScenarioFuzzLLM,Town03,2,2,2025-09-23_11-26-00,logs/enriched/tool1/log/2_2_log_basic.json,0.5781884783047393,0.0793638318084247,19.44,4.2,100.0,96.515829230966,78.0,309.60620669185613,306.1034348669117,309.60620669185613,0.1773157880682928,0.4474157390083288,0.1773157880682928,2.504627916477821,0.4107796913359876,3.7950055424940063,7.518855532592711,0.9818260124546208,4.569938085345852,13.255672786722162,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,1,4,2025-09-23_11-18-53,logs/enriched/tool1/log/1_4_log_basic.json,4.514872109349393,1.0556773760332012,3.28,1.4,100.0,96.1479236991264,58.52,210.833195999112,205.58494261227483,210.833195999112,0.1964115428966293,0.5485109351984717,0.1964115428966293,2.9883007230107377,0.5121393871293904,3.373434512932196,7.518792521409272,1.0987093707950024,4.534259300657289,12.365029759110511,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,1,1,2025-09-23_11-12-03,logs/enriched/tool1/log/1_1_log_basic.json,0.0,0.0,9.88,3.16,21.25673963364293,95.34949273873444,,527.5006982020582,110.08681653352926,112.12944998246006,0.2381058697405595,0.3322627831928385,0.2381058697405595,0.6339738673854822,0.2317415627161922,5.001153934523485,7.518619337351772,1.1900061446239725,4.91588852863587,145.75018809369996,1,0,0,1,2,True,1.0
ScenarioFuzzLLM,Town03,3,2,2025-09-23_11-38-03,logs/enriched/tool1/log/3_2_log_basic.json,2.4243159127252736,0.262763828742732,6.28,3.04,100.0,96.22386756235268,58.4,210.833195999112,205.8686349333136,210.833195999112,0.1924637776513466,0.5339639583032973,0.1924637776513466,2.9883007230107377,0.4980714838846914,3.379627653719876,7.518995015957917,1.1228178132854854,4.5239323164306295,13.605143519666704,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,2,3,2025-09-23_11-28-24,logs/enriched/tool1/log/2_3_log_basic.json,1.9365314665556577,0.3036434432291508,8.76,3.72,100.0,96.68714939590656,59.0,210.833195999112,204.31807797749,210.833195999112,0.1684484190938954,0.4561767869415901,0.1684484190938954,2.9883007230107377,0.4239367771839573,3.1772059367462115,7.518895017221613,1.2228945693100204,4.745009271005024,13.75314732144407,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,3,3,2025-09-23_11-40-08,logs/enriched/tool1/log/3_3_log_basic.json,1.4106814516196762,0.1130195014246995,17.68,4.16,100.0,96.49511852091302,78.92,309.60620669185613,306.3024003653256,309.60620669185613,0.17838882099071,0.4500577871538923,0.17838882099071,2.629903574277958,0.4131941920252541,3.756731384576796,7.518855532592711,1.083067786386447,4.429963865918229,13.17668452716329,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,2,4,2025-09-23_11-30-34,logs/enriched/tool1/log/2_4_log_basic.json,0.606435233454926,0.1265262078947916,19.56,7.76,100.0,96.3750842812308,80.68,309.60620669185613,306.0652026076645,309.60620669185613,0.1846123979578033,0.4622899965157156,0.1846123979578033,2.7769578840882745,0.4238281531455526,3.675976142134149,7.521182700878898,0.9901802855507612,4.618592335103304,10.400909001163017,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,1,2,2025-09-23_11-13-28,logs/enriched/tool1/log/1_2_log_basic.json,0.0,0.0,6.4,1.92,45.6456860177722,93.75351619923424,,210.833195999112,89.30748074911855,96.23625866698892,0.3225050785787159,0.6834308900290156,0.3225050785787159,2.9883007230107377,0.6025514548457986,3.439611043372317,7.469592070521656,1.3263456828734237,4.88365762046576,9.483053970345791,1,0,0,0,1,True,2.0
ScenarioFuzzLLM,Town03,3,1,2025-09-23_11-33-49,logs/enriched/tool1/log/3_1_log_basic.json,0.013300342238424,0.002852362936094,9.28,3.24,100.0,95.65989856043888,163.2,492.3113489325609,477.7764308015723,492.3113489325609,0.2218550407712191,0.4712668877527607,0.2218550407712191,3.2542341111235347,0.4157797738906666,2.874665362214468,7.520550639414644,0.8758130895286574,3.951003803655494,13.185856485456892,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,1,0,2025-09-23_11-10-03,logs/enriched/tool1/log/1_0_log_basic.json,0.3151458075240721,0.0607669936339685,6.24,3.72,100.0,96.2020169987993,58.56,210.833195999112,205.9353806222721,210.833195999112,0.1935993090637193,0.5366476734685389,0.1935993090637193,2.9883007230107377,0.5005097731006319,3.371938427477264,7.518893515006048,1.1054013598356862,4.56066532032762,10.867504346832655,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,1,3,2025-09-23_11-14-43,logs/enriched/tool1/log/1_3_log_basic.json,1.0865392307448745,0.2141409110554936,19.04,3.04,100.0,96.8497044396708,155.8,527.5006982020582,522.4053114957981,527.5006982020582,0.1600492393631037,0.4088194618095558,0.1600492393631037,3.266599455090881,0.376188241886355,3.285869004459588,7.532227896844332,0.6650863559770841,3.2926931534195387,15.432365613831797,0,0,0,1,1,True,0.0
ScenarioFuzzLLM,Town03,4,0,2025-09-23_11-47-00,logs/enriched/tool1/log/4_0_log_basic.json,9.9819554679756,0.7313015302293993,2.4,1.04,100.0,83.90167579918135,15.72,107.89775187049212,117.1368071782404,107.89775187049212,0.8776229947292702,2.261179997775055,0.8776229947292702,10.02102919514757,2.0839176714689147,6.4152847365750825,11.98484291595013,1.5211269499253726,7.343570284650844,17.150610964178313,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,2,0,2025-09-23_10-18-28,logs/enriched/tool1/2025-09-23_11-09-43/log/2_0_log_basic.json,1.3680566454447816,0.1277697886893348,21.96,3.56,100.0,93.61702351409696,153.84,569.6743161658064,567.6705842044909,569.6743161658064,0.3297897194560822,1.2241128504996222,0.3297897194560822,14.20606120252901,1.1788515647440052,3.617810535957268,14.71428192097732,0.9402767817222276,4.029511879281277,13.283617384324398,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,5,2,2025-09-23_11-00-53,logs/enriched/tool1/2025-09-23_11-09-43/log/5_2_log_basic.json,26.049224499973125,2.7470766025541624,0.0,0.0,100.0,96.1334356391491,9.72,58.929978982560485,62.3545284128427,58.929978982560485,0.1971650251922919,0.7395182530895993,0.1971650251922919,3.4245457421386507,0.7127504468561318,5.149183388006721,7.523112815849568,1.4231245425419934,6.648571663021318,11.26265979273644,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,3,4,2025-09-23_10-40-34,logs/enriched/tool1/2025-09-23_11-09-43/log/3_4_log_basic.json,1.4429422347580487,0.3572064549736625,2.28,1.52,100.0,97.11358377697378,95.72,170.3390754829899,167.30707347434355,170.3390754829899,0.1464446287932429,0.3591098960805305,0.1464446287932429,2.734061946993898,0.3278931047774239,1.6919391712679013,7.517350443474084,0.6029795971619457,3.4150070859473303,13.217409043456833,0,0,0,1,1,True,2.0
ScenarioFuzzLLM,Town03,3,0,2025-09-23_10-30-18,logs/enriched/tool1/2025-09-23_11-09-43/log/3_0_log_basic.json,1.864095083853898,0.2538455415908019,5.48,3.6,100.0,95.57872375884595,97.04,212.63975890868295,207.96277201290115,212.63975890868295,0.2260997276176136,0.476332784555088,0.2260997276176136,3.44293879846854,0.419251517365465,2.0817485013711665,7.508732932392789,0.7857950698603767,3.848197179152422,15.58613098942674,0,0,0,1,1,True,2.0
ScenarioFuzzLLM,Town03,5,0,2025-09-23_10-57-06,logs/enriched/tool1/2025-09-23_11-09-43/log/5_0_log_basic.json,9.530406006566562,1.2916281552977589,1.6,1.0,100.0,96.1334356391491,9.72,58.929978982560485,62.3545284128427,58.929978982560485,0.1971650251922919,0.7395182530895993,0.1971650251922919,3.4245457421386507,0.7127504468561318,5.149183388006721,7.523112815849568,1.4231245425419934,6.648571663021318,11.26265979273644,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,2,1,2025-09-23_10-22-31,logs/enriched/tool1/2025-09-23_11-09-43/log/2_1_log_basic.json,13.487361334597662,1.6544321947986156,0.0,0.0,100.0,96.1334356391491,9.72,58.929978982560485,62.3545284128427,58.929978982560485,0.1971650251922919,0.7395182530895993,0.1971650251922919,3.4245457421386507,0.7127504468561318,5.149183388006721,7.523112815849568,1.4231245425419934,6.648571663021318,11.26265979273644,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,2,2,2025-09-23_10-23-23,logs/enriched/tool1/2025-09-23_11-09-43/log/2_2_log_basic.json,13.134179807662148,1.3902495148455476,0.48,0.32,100.0,96.1334356391491,9.72,58.929978982560485,62.3545284128427,58.929978982560485,0.1971650251922919,0.7395182530895993,0.1971650251922919,3.4245457421386507,0.7127504468561318,5.149183388006721,7.523112815849568,1.4231245425419934,6.648571663021318,11.26265979273644,0,0,0,0,0,False,
ScenarioFuzzLLM,Town03,4,1,2025-09-23_10-46-14,logs/enriched/tool1/2025-09-23_11-09-43/log/4_1_log_basic.json,1.4693915685510706,0.2612397452004733,5.16,2.36,100.0,95.58236390162028,97.32,212.63975890868295,207.93503559537044,212.63975890868295,0.2259093048271117,0.4735610683896028,0.2259093048271117,3.4250697233779075,0.4162031613128776,2.0734339809194124,7.530028679892262,0.6520665646369592,3.4019056240777568,16.6902752259526,0,0,0,1,1,True,2.0
ScenarioFuzzLLM,Town03,1,4,2025-09-23_10-15-47,logs/enriched/tool1/2025-09-23_11-09-43/log/1_4_log_basic.json,1.4321670695875406,0.717626172050106,3.96,1.84,100.0,97.22355921810714,95.16,170.3390754829899,167.47561431931277,170.3390754829899,0.140785625517901,0.361928940529773,0.140785625517901,2.734500511976562,0.3334246026323452,1.7031274836822703,7.50715990105446,0.562227581749978,3.235108764612202,14.421257183600613,0,0,0,1,1,True,2.0
